2014-01-01  11
2014-01-02  18
2014-01-03   9
2014-01-04   6
2014-01-05   3
2014-01-06   3
2014-01-07   7
2014-01-08   7
2014-01-09   8
2014-01-10   4
2014-01-11   3
2014-01-12   7
2014-01-13   6
2014-01-14  10
2014-01-15   3
2014-01-16   2
2014-01-17   2
2014-01-18   1
2014-01-19   0
2014-01-20   2
2014-01-21   8
2014-01-22  10
2014-01-23   6
2014-01-24   4
2014-01-25   6
2014-01-26   6
2014-01-27   3
2014-01-28   4
2014-01-29   6
2014-01-30   3
2014-01-31   1
2014-02-01   4
2014-02-02   3
2014-02-03   6
2014-02-04   4
2014-02-05   3
2014-02-06   8
2014-02-07   8
2014-02-08  23
2014-02-09  16
2014-02-10  10
2014-02-11   5
2014-02-12   7
2014-02-13   1
2014-02-14   2
2014-02-15   9
2014-02-16  19
2014-02-17   4
2014-02-18   6
2014-02-19  43
2014-02-20  37
2014-02-21  10
2014-02-22  12
2014-02-23  18
2014-02-24   5
2014-02-25   3
2014-02-26   2
2014-02-27  20
2014-02-28  11
2014-03-01   6
2014-03-02   4
2014-03-03   5
2014-03-04   6
2014-03-05   6
2014-03-06   5
2014-03-07   2
2014-03-08   2
2014-03-09   2
2014-03-10   4
2014-03-11   3
2014-03-12   5
2014-03-13  11
2014-03-14   5
2014-03-15   3
2014-03-16   1
2014-03-17   2
2014-03-18   5
2014-03-19   4
2014-03-20   5
2014-03-21   9
2014-03-22   4
2014-03-23   6
2014-03-24   3
2014-03-25   7
2014-03-26   9
2014-03-27   5
2014-03-28   6
2014-03-29   7
2014-03-30   4
2014-03-31   6
2014-04-01   5
2014-04-02   3
2014-04-03   5
2014-04-04   5
2014-04-05  12
2014-04-06   2
2014-04-07  10
2014-04-08   4
2014-04-09   4
2014-04-10   2
2014-04-11   7
2014-04-12  20
2014-04-13  15
2014-04-14   6
2014-04-15   5
2014-04-16   3
2014-04-17  11
2014-04-18   6
2014-04-19  14
2014-04-20  22
2014-04-21  18
2014-04-22   4
2014-04-23   5
2014-04-24  11
2014-04-25   8
2014-04-26   5
2014-04-27   3
2014-04-28   5
2014-04-29   4
2014-04-30  16
2014-05-01   4
2014-05-02   2
2014-05-03   5
2014-05-04  13
2014-05-05   8
2014-05-06   2
2014-05-07   2
2014-05-08  20
2014-05-09   6
2014-05-10   8
2014-05-11  10
2014-05-12   6
2014-05-13   3
2014-05-14   4
2014-05-15   4
2014-05-16   4
2014-05-17   3
2014-05-18   4
