#URSI, topside IRI-corr, F2 storm model on
# Year, nday, UT, Lon, Lat, TEC(TECU), NmF2 (10^12 m-3)
2017 219  0.0   50.0   85.0   5.89  0.205203
2017 219  0.0   55.0   85.0   5.93  0.206438
2017 219  0.0   60.0   85.0   5.96  0.207655
2017 219  0.0   65.0   85.0   6.00  0.208842
2017 219  0.0   70.0   85.0   6.03  0.209986
2017 219  0.0   75.0   85.0   6.06  0.211079
2017 219  0.0   80.0   85.0   6.09  0.212111
2017 219  0.0   85.0   85.0   6.12  0.213073
2017 219  0.0   90.0   85.0   6.15  0.213959
2017 219  0.0   95.0   85.0   6.18  0.214764
2017 219  0.0  100.0   85.0   6.20  0.215482
2017 219  0.0  105.0   85.0   6.22  0.216112
2017 219  0.0  110.0   85.0   6.25  0.216650
2017 219  0.0  115.0   85.0   6.26  0.217095
2017 219  0.0  120.0   85.0   6.28  0.217448
2017 219  0.0  125.0   85.0   6.29  0.217710
2017 219  0.0  130.0   85.0   6.31  0.217886
2017 219  0.0  135.0   85.0   6.32  0.217981
2017 219  0.0  140.0   85.0   6.32  0.218003
2017 219  0.0  145.0   85.0   6.33  0.217958
2017 219  0.0  150.0   85.0   6.33  0.217854
2017 219  0.0  155.0   85.0   6.34  0.217695
2017 219  0.0  160.0   85.0   6.34  0.217484
2017 219  0.0  165.0   85.0   6.34  0.217221
2017 219  0.0  170.0   85.0   6.34  0.216909
2017 219  0.0  175.0   85.0   6.33  0.216545
2017 219  0.0  180.0   85.0   6.33  0.216131
2017 219  0.0 -175.0   82.5   6.28  0.213444
2017 219  0.0 -170.0   82.5   6.28  0.213226
2017 219  0.0 -165.0   82.5   6.28  0.212899
2017 219  0.0 -160.0   82.5   6.27  0.212457
2017 219  0.0 -155.0   82.5   6.26  0.211894
2017 219  0.0 -150.0   82.5   6.24  0.211207
2017 219  0.0 -145.0   82.5   6.22  0.210394
2017 219  0.0 -140.0   82.5   6.20  0.209456
2017 219  0.0 -135.0   82.5   6.17  0.208395
2017 219  0.0 -130.0   82.5   6.14  0.207216
2017 219  0.0 -125.0   82.5   6.10  0.205924
2017 219  0.0 -120.0   82.5   6.06  0.204529
2017 219  0.0 -115.0   82.5   6.01  0.203038
2017 219  0.0 -110.0   82.5   5.97  0.201461
2017 219  0.0 -105.0   82.5   5.92  0.199815
2017 219  0.0 -100.0   82.5   5.86  0.198117
2017 219  0.0  -95.0   82.5   5.81  0.196385
2017 219  0.0  -90.0   82.5   5.75  0.194639
2017 219  0.0  -85.0   82.5   5.69  0.192894
2017 219  0.0  -80.0   82.5   5.64  0.191168
2017 219  0.0  -75.0   82.5   5.58  0.189478
2017 219  0.0  -70.0   82.5   5.52  0.187839
2017 219  0.0  -65.0   82.5   5.47  0.186267
2017 219  0.0  -60.0   82.5   5.42  0.184776
2017 219  0.0  -55.0   82.5   5.37  0.183382
2017 219  0.0  -50.0   82.5   5.33  0.182097
2017 219  0.0  -45.0   82.5   5.29  0.180935
2017 219  0.0  -40.0   82.5   5.25  0.179909
2017 219  0.0  -35.0   82.5   5.21  0.179029
2017 219  0.0  -30.0   82.5   5.19  0.178305
2017 219  0.0  -25.0   82.5   5.16  0.177747
2017 219  0.0  -20.0   82.5   5.14  0.177361
2017 219  0.0  -15.0   82.5   5.13  0.177153
2017 219  0.0  -10.0   82.5   5.12  0.177126
2017 219  0.0   -5.0   82.5   5.12  0.177283
2017 219  0.0    0.0   82.5   5.13  0.177621
2017 219  0.0    5.0   82.5   5.14  0.178140
2017 219  0.0   10.0   82.5   5.15  0.178835
2017 219  0.0   15.0   82.5   5.17  0.179697
2017 219  0.0   20.0   82.5   5.20  0.180719
2017 219  0.0   25.0   82.5   5.23  0.181888
2017 219  0.0   30.0   82.5   5.27  0.183192
2017 219  0.0   35.0   82.5   5.30  0.184617
2017 219  0.0   40.0   82.5   5.34  0.186144
2017 219  0.0   45.0   82.5   5.39  0.187758
2017 219  0.0   50.0   82.5   5.44  0.189438
2017 219  0.0   55.0   82.5   5.48  0.191164
2017 219  0.0   60.0   82.5   5.53  0.192918
2017 219  0.0   65.0   82.5   5.58  0.194677
2017 219  0.0   70.0   82.5   5.63  0.196422
2017 219  0.0   75.0   82.5   5.68  0.198135
2017 219  0.0   80.0   82.5   5.73  0.199796
2017 219  0.0   85.0   82.5   5.78  0.201387
2017 219  0.0   90.0   82.5   5.82  0.202893
2017 219  0.0   95.0   82.5   5.87  0.204301
2017 219  0.0  100.0   82.5   5.91  0.205597
2017 219  0.0  105.0   82.5   5.95  0.206771
2017 219  0.0  110.0   82.5   5.99  0.207818
2017 219  0.0  115.0   82.5   6.02  0.208740
2017 219  0.0  120.0   82.5   6.05  0.209543
2017 219  0.0  125.0   82.5   6.08  0.210240
2017 219  0.0  130.0   82.5   6.11  0.210849
2017 219  0.0  135.0   82.5   6.13  0.211382
2017 219  0.0  140.0   82.5   6.15  0.211853
2017 219  0.0  145.0   82.5   6.17  0.212268
2017 219  0.0  150.0   82.5   6.19  0.212631
2017 219  0.0  155.0   82.5   6.21  0.212943
2017 219  0.0  160.0   82.5   6.23  0.213199
2017 219  0.0  165.0   82.5   6.24  0.213397
2017 219  0.0  170.0   82.5   6.26  0.213529
2017 219  0.0  175.0   82.5   6.27  0.213586
2017 219  0.0  180.0   82.5   6.27  0.213561
2017 219  0.0 -175.0   80.0   6.31  0.214283
2017 219  0.0 -170.0   80.0   6.32  0.214506
2017 219  0.0 -165.0   80.0   6.33  0.214558
2017 219  0.0 -160.0   80.0   6.34  0.214424
2017 219  0.0 -155.0   80.0   6.33  0.214094
2017 219  0.0 -150.0   80.0   6.32  0.213561
2017 219  0.0 -145.0   80.0   6.31  0.212823
2017 219  0.0 -140.0   80.0   6.28  0.211876
2017 219  0.0 -135.0   80.0   6.25  0.210726
2017 219  0.0 -130.0   80.0   6.22  0.209378
2017 219  0.0 -125.0   80.0   6.17  0.207842
