vTEC err_vTEC 
38.820617 -0.000000 
42.910723 -0.000000 
40.394299 0.000000 
26.523516 -0.000000 
37.704098 -0.000000 
46.937566 0.000000 
46.620430 0.000000 
43.165795 0.000000 
31.774581 0.000000 
35.737926 0.000000 
42.887062 0.000000 
50.305582 0.000000 
50.728923 -0.000000 
48.969732 -0.000000 
29.238838 0.000000 
33.696335 0.000000 
40.902956 0.000000 
47.070302 0.000000 
52.825631 0.000000 
53.645424 0.000000 
52.797551 -0.000000 
50.912400 -0.000000 
26.796843 0.000000 
27.439843 -0.000000 
31.792363 -0.000000 
38.470294 -0.000000 
45.130107 0.000000 
50.060328 0.000000 
54.742862 -0.000000 
56.003303 -0.000000 
55.976229 -0.000000 
54.730357 -0.000000 
52.929380 -0.000000 
24.848526 -0.000000 
25.965065 -0.000000 
30.024134 -0.000000 
36.026191 -0.000000 
42.463861 0.000000 
48.043880 -0.000000 
52.145016 0.000000 
57.218791 -0.000000 
59.353147 0.000000 
60.479771 0.000000 
60.161430 -0.000000 
58.193360 0.000000 
23.432437 0.000000 
24.770211 0.000000 
28.490161 0.000000 
33.842321 0.000000 
39.825561 -0.000000 
45.528596 0.000000 
50.389825 0.000000 
54.255101 -0.000000 
63.076413 -0.000000 
66.672966 -0.000000 
69.436852 -0.000000 
70.643962 0.000000 
69.407196 0.000000 
65.456325 -0.000000 
22.855628 -0.000000 
24.925218 -0.000000 
28.698236 0.000000 
33.631336 -0.000000 
39.123806 -0.000000 
44.650267 0.000000 
49.868078 0.000000 
54.652483 -0.000000 
59.037221 -0.000000 
75.839482 -0.000000 
81.326812 0.000000 
85.704809 0.000000 
88.073132 0.000000 
87.301209 0.000000 
82.365553 0.000000 
22.951863 0.000000 
24.890093 0.000000 
28.463460 0.000000 
33.287424 0.000000 
38.938472 -0.000000 
45.026651 -0.000001 
51.265641 -0.000000 
57.505849 0.000000 
63.707942 -0.000000 
69.856863 -0.000000 
94.884658 -0.000000 
100.940356 0.000006 
105.610035 0.000005 
108.303735 0.000005 
108.341972 0.000002 
104.817026 0.000006 
25.433197 -0.000000 
28.158747 -0.000000 
32.285884 0.000000 
37.589222 0.000000 
43.799094 -0.000000 
50.644168 0.000000 
57.895135 -0.000000 
65.381771 0.000000 
72.978428 0.000000 
80.562246 0.000000 
87.957257 0.000000 
111.803072 0.000002 
116.590616 0.000006 
120.060240 -0.000000 
122.071127 0.000007 
122.521759 0.000009 
121.170342 0.000002 
30.649812 -0.000000 
34.175248 -0.000000 
38.949525 0.000000 
44.889628 -0.000000 
51.781473 0.000000 
59.359424 0.000000 
67.361014 0.000000 
75.546925 -0.000000 
83.700546 0.000000 
91.616742 0.000000 
99.087678 0.000000 
105.893354 0.000004 
117.794830 0.000000 
120.918457 0.000007 
123.165002 0.000002 
124.612089 0.000009 
125.402401 0.000001 
125.712508 0.000008 
125.426990 -0.000000 
41.137025 0.000000 
45.788594 0.000000 
51.647114 -0.000000 
58.490695 -0.000000 
65.996293 -0.000000 
73.834139 -0.000000 
81.701336 -0.000000 
89.333659 0.000000 
96.510073 -0.000000 
103.054329 0.000009 
108.834991 0.000001 
113.764133 0.000003 
114.785683 0.000003 
117.689449 0.000009 
119.908061 0.000001 
121.522347 0.000007 
122.731348 0.000008 
123.920472 0.000002 
47.768315 0.000000 
52.369471 -0.000000 
58.517701 0.000000 
65.721523 -0.000000 
73.436853 0.000000 
81.190090 -0.000000 
88.608402 -0.000000 
95.427648 -0.000000 
101.489792 0.000002 
106.729240 0.000000 
111.148235 0.000005 
110.602998 0.000008 
114.099642 0.000002 
116.808036 0.000006 
118.835212 0.000002 
120.441384 0.000004 
49.896036 0.000000 
53.133748 -0.000000 
58.699679 0.000000 
65.774149 -0.000000 
73.510957 0.000000 
81.265133 0.000000 
88.604841 0.000000 
95.282923 -0.000000 
101.190569 0.000009 
106.298598 0.000008 
106.045891 0.000001 
109.820755 0.000005 
113.126864 0.000004 
116.247336 0.000006 
53.563802 0.000000 
58.685678 -0.000000 
65.838354 0.000000 
73.835887 0.000000 
81.825848 -0.000000 
89.266561 -0.000000 
95.852037 -0.000000 
101.444912 0.000002 
97.409576 -0.000000 
101.904066 0.000006 
107.463255 0.000005 
55.372912 -0.000000 
59.897393 0.000000 
66.659829 0.000000 
74.204319 -0.000000 
81.440695 -0.000000 
87.748721 -0.000000 
92.967324 -0.000000 
86.318398 -0.000000 
93.325997 0.000000 
61.263925 -0.000000 
66.044903 -0.000000 
71.508138 -0.000001 
76.657596 0.000000 
81.320931 -0.000000 
78.279208 0.000000 
