vTEC err_vTEC 
23.722596 0.000000 
26.221988 0.000000 
24.684246 0.000000 
16.208054 0.000000 
23.040311 0.000000 
28.682722 -0.000000 
28.488925 0.000000 
26.377859 -0.000000 
19.416888 0.000000 
21.838819 -0.000000 
26.207530 -0.000000 
30.740857 -0.000000 
30.999553 0.000000 
29.924542 0.000000 
17.867340 0.000000 
20.591238 0.000000 
24.995077 0.000000 
28.763834 0.000000 
32.280815 -0.000000 
32.781776 -0.000000 
32.263655 0.000000 
31.111672 0.000000 
16.375080 -0.000000 
16.768006 -0.000000 
19.427754 -0.000000 
23.508520 0.000000 
27.578215 0.000000 
30.590987 -0.000000 
33.452401 -0.000000 
34.222634 -0.000000 
34.206089 0.000000 
33.444759 -0.000000 
32.344214 -0.000000 
15.184497 0.000000 
15.866795 -0.000000 
18.347221 -0.000000 
22.014972 -0.000000 
25.948919 0.000000 
29.358770 0.000000 
31.864903 -0.000000 
34.965397 0.000000 
36.269665 -0.000000 
36.958125 0.000000 
36.763592 0.000000 
35.560939 0.000000 
14.319151 -0.000000 
15.136641 -0.000000 
17.409837 -0.000000 
20.680448 -0.000000 
24.336700 0.000000 
27.821725 -0.000000 
30.792336 0.000000 
33.154339 -0.000000 
38.544887 0.000000 
40.742677 0.000000 
42.431639 0.000000 
43.169284 -0.000000 
42.413518 -0.000000 
39.999209 0.000000 
13.966672 0.000000 
15.231362 0.000000 
17.536988 -0.000000 
20.551518 0.000000 
23.907870 -0.000000 
27.284993 0.000000 
30.473506 -0.000000 
33.397172 -0.000000 
36.076608 -0.000000 
46.344174 0.000000 
49.697385 0.000000 
52.372702 0.000000 
53.819943 0.000000 
53.348234 0.000000 
50.332142 -0.000000 
14.025480 0.000000 
15.209898 0.000000 
17.393520 0.000000 
20.341360 -0.000000 
23.794616 -0.000000 
27.514995 0.000000 
31.327532 0.000000 
35.140814 -0.000000 
38.930803 0.000000 
42.688301 -0.000000 
57.982346 0.000000 
61.682877 0.000000 
64.536436 0.000000 
66.182509 -0.000000 
66.205875 -0.000000 
64.051842 0.000000 
15.541780 -0.000000 
17.207315 0.000000 
19.729336 0.000000 
22.970113 -0.000000 
26.764856 0.000000 
30.947761 0.000000 
35.378699 0.000000 
39.953651 0.000000 
44.595835 -0.000000 
49.230173 -0.000000 
53.749134 -0.000000 
68.320892 -0.000000 
71.246476 -0.000000 
73.366702 0.000000 
74.595520 -0.000000 
74.870893 0.000000 
74.045066 -0.000000 
18.729561 0.000000 
20.883893 0.000000 
23.801370 0.000000 
27.431263 -0.000000 
31.642748 0.000000 
36.273501 -0.000000 
41.163132 -0.000000 
46.165398 -0.000000 
51.147933 -0.000000 
55.985381 -0.000000 
60.550738 0.000000 
64.709567 0.000000 
71.982350 0.000000 
73.891143 0.000000 
75.263968 -0.000000 
76.148257 0.000000 
76.631203 0.000000 
76.820704 -0.000000 
76.646229 -0.000000 
25.138113 0.000000 
27.980605 0.000000 
31.560643 0.000000 
35.742635 0.000000 
40.329174 0.000000 
45.118744 0.000000 
49.926250 0.000000 
54.590229 -0.000000 
58.975609 0.000000 
62.974689 0.000000 
66.507150 0.000000 
69.519262 -0.000000 
70.143513 0.000000 
71.917953 0.000000 
73.273708 0.000000 
74.260170 0.000000 
74.998969 0.000000 
75.725622 0.000000 
29.190378 -0.000000 
32.002063 0.000000 
35.759139 -0.000000 
40.161267 0.000000 
44.875970 0.000000 
49.613837 -0.000000 
54.147037 -0.000000 
58.314158 0.000000 
62.018628 -0.000000 
65.220363 -0.000000 
67.920733 -0.000000 
67.587548 -0.000000 
69.724285 0.000000 
71.379337 0.000000 
72.618109 0.000000 
73.599613 -0.000000 
30.490591 -0.000000 
32.469099 0.000000 
35.870342 0.000000 
40.193426 0.000000 
44.921254 -0.000000 
49.659695 -0.000000 
54.144861 -0.000000 
58.225719 0.000000 
61.835778 -0.000000 
64.957205 -0.000000 
64.802780 -0.000000 
67.109533 0.000000 
69.129838 -0.000000 
71.036704 -0.000000 
32.731898 -0.000000 
35.861786 0.000000 
40.232661 -0.000000 
45.119813 -0.000000 
50.002337 0.000000 
54.549226 0.000000 
58.573495 -0.000000 
61.991203 -0.000000 
59.525280 0.000001 
62.271784 -0.000000 
65.668906 0.000000 
33.837413 0.000000 
36.602244 0.000000 
40.734650 -0.000000 
45.344955 -0.000000 
49.766977 0.000000 
53.621701 -0.000000 
56.810697 0.000000 
52.747656 -0.000000 
57.029876 0.000000 
37.437308 -0.000000 
40.358879 0.000000 
43.697366 0.000000 
46.844110 -0.000000 
49.693791 0.000000 
47.835048 0.000000
