vTEC err_vTEC 
10.342308 -0.000000 
11.431964 0.000000 
10.761557 -0.000000 
7.066203 0.000000 
10.044853 -0.000000 
12.504767 -0.000000 
12.420278 -0.000000 
11.499919 -0.000000 
8.465154 0.000000 
9.521040 -0.000000 
11.425661 -0.000000 
13.402049 0.000000 
13.514833 -0.000000 
13.374309 13.374309 
7.789600 -0.000000 
8.977134 -0.000000 
10.897070 -0.000000 
11.574096 11.574096 
14.073422 0.000000 
14.291826 -0.000000 
14.065941 0.000000 
14.509364 14.509364 
7.139021 0.000000 
7.310324 0.000000 
8.469891 0.000000 
10.248977 0.000000 
12.023237 -0.000000 
13.096833 13.096833 
14.584197 0.000000 
14.919995 -0.000000 
14.912782 -0.000000 
15.754630 15.754630 
15.384920 15.384920 
6.619964 0.000000 
6.917425 -0.000000 
7.998813 -0.000000 
9.597837 0.000000 
11.312915 -0.000000 
12.799503 -0.000000 
14.134292 14.134292 
15.243816 0.000000 
15.812436 -0.000000 
16.112583 0.000000 
15.798461 15.798461 
15.455031 15.455031 
6.242700 0.000000 
6.599100 0.000000 
7.590143 -0.000000 
9.016026 0.000000 
10.610038 -0.000000 
12.129399 0.000000 
13.369893 13.369893 
14.681979 14.681979 
16.804361 0.000000 
17.762529 0.000000 
18.498864 -0.000000 
18.820453 0.000000 
20.081239 20.081239 
20.166879 20.166879 
6.089031 -0.000000 
6.640396 0.000000 
7.645576 0.000000 
8.959817 0.000000 
10.423081 0.000000 
11.895401 0.000000 
13.285492 0.000000 
14.318451 14.318451 
16.288780 16.288780 
20.204606 -0.000000 
21.666501 -0.000000 
22.832855 0.000000 
23.463807 -0.000000 
27.285071 27.285071 
18.432097 18.432097 
6.114669 0.000000 
6.631039 -0.000000 
7.583029 0.000000 
8.868195 -0.000000 
10.373706 -0.000000 
11.995675 -0.000000 
13.657821 0.000000 
15.320292 0.000000 
25.554503 25.554503 
25.250607 25.250607 
25.278484 -0.000000 
26.891799 0.000000 
28.135861 0.000000 
28.853497 0.000000 
28.863684 0.000000 
21.403974 21.403974 
6.775728 0.000000 
7.501850 -0.000000 
8.601372 -0.000000 
10.014249 -0.000000 
11.668638 -0.000000 
13.492253 -0.000000 
15.424003 -0.000000 
17.418538 0.000000 
22.501581 22.501581 
20.638877 20.638877 
30.602484 30.602484 
29.785765 0.000000 
31.061228 0.000000 
31.985580 0.000000 
32.521306 0.000000 
32.641360 0.000000 
27.713452 27.713452 
8.165501 0.000000 
9.104722 0.000000 
10.376651 -0.000000 
11.959170 -0.000000 
13.795245 0.000000 
15.814108 0.000000 
17.945834 0.000000 
20.126665 -0.000000 
22.298894 -0.000000 
28.113912 28.113912 
25.069088 25.069088 
28.796176 28.796176 
31.382046 0.000000 
32.214220 0.000000 
32.812729 -0.000000 
33.198251 0.000000 
33.408800 0.000000 
33.491417 -0.000000 
33.415351 0.000000 
10.959429 -0.000000 
12.198666 -0.000000 
13.759450 0.000000 
15.582668 -0.000000 
17.582255 -0.000000 
19.670357 -0.000000 
21.766279 -0.000000 
23.799627 0.000000 
25.711515 0.000000 
26.767379 26.767379 
29.362203 29.362203 
30.677583 30.677583 
30.991651 30.991651 
31.529366 31.529366 
31.957727 31.957727 
32.461992 32.461992 
32.697198 -0.000000 
33.013995 0.000000 
12.726089 -0.000000 
13.951895 0.000000 
15.589863 -0.000000 
17.509052 0.000000 
19.564515 0.000000 
21.630076 0.000000 
23.606409 0.000000 
25.423143 0.000000 
27.038176 -0.000000 
28.434032 -0.000000 
29.611308 0.000000 
28.940548 28.940548 
29.211996 29.211996 
31.217611 31.217611 
31.718102 31.718102 
31.989251 31.989251 
13.292941 -0.000000 
14.155509 -0.000000 
15.638344 -0.000000 
17.523073 -0.000000 
19.584257 0.000000 
21.650069 -0.000000 
23.605461 -0.000000 
25.384587 -0.000000 
26.958459 0.000000 
28.319303 0.000000 
28.242354 28.242354 
26.880956 26.880956 
26.133391 26.133391 
29.927768 29.927768 
14.270081 -0.000000 
15.634614 -0.000000 
17.540178 -0.000000 
19.670823 -0.000000 
21.799450 0.000000 
23.781751 0.000000 
25.536206 0.000000 
27.026219 0.000000 
26.154746 26.154746 
27.845236 27.845236 
28.161370 28.161370 
14.752050 0.000000 
15.957430 0.000000 
17.759029 0.000000 
19.768978 -0.000000 
21.696841 -0.000000 
23.377379 0.000000 
24.767682 -0.000000 
16.882760 16.882760 
19.846029 19.846029 
16.321492 -0.000000 
17.595205 0.000000 
19.050681 -0.000000 
20.422562 0.000000 
21.664934 -0.000000 
23.016072 23.016072
