vTEC sTEC IonoDelay  
63.517140 67.565953 10.970849 
59.467008 62.551024 10.156563 
54.699877 59.015759 9.582533 
49.541042 56.853782 9.231488 
44.234139 55.957129 9.085896 
38.989391 56.257972 9.134745 
34.019966 57.711510 9.370759 
29.528485 60.057566 9.751694 
25.656694 62.127006 10.087714 
22.431067 61.185179 9.934787 
40.637157 106.928661 17.362268 
50.646004 115.042132 18.679673 
58.621877 111.028242 18.027927 
64.109225 101.836554 16.535451 
67.098621 91.657347 14.882628 
48.737458 56.083075 9.106346 
48.189969 50.997079 8.280520 
46.640051 47.384349 7.693913 
44.340122 45.181405 7.336215 
41.368974 44.167237 7.171542 
37.766056 44.094456 7.159725 
33.686531 44.809243 7.275786 
29.452502 46.307447 7.519054 
25.452615 48.566234 7.885818 
21.950150 50.837080 8.254541 
18.923007 50.593441 8.214981 
25.431042 67.026475 10.883253 
33.162205 74.939525 12.168114 
40.070908 74.423627 12.084346 
45.049485 69.117665 11.222804 
47.848782 62.393567 10.130996 
37.180390 41.619468 6.757855 
37.977169 39.137912 6.354918 
37.794605 37.799717 6.137633 
36.498791 37.380520 6.069567 
33.952927 37.543432 6.096019 
30.311684 38.052438 6.178668 
26.101555 38.903529 6.316861 
21.991237 40.193035 6.526242 
18.401626 41.368391 6.717087 
15.258110 40.124341 6.515087 
15.821923 42.125185 6.839969 
21.502889 49.417034 8.023965 
27.266846 51.084440 8.294706 
32.030787 48.824460 7.927747 
35.296743 45.107877 7.324276 
30.517006 34.078243 5.533368 
32.079183 33.080881 5.371424 
32.205073 32.796613 5.325266 
30.522978 32.850695 5.334048 
27.083594 32.856310 5.334959 
22.633736 32.732178 5.314804 
18.230115 32.645427 5.300718 
14.477063 32.112391 5.214168 
11.185573 29.013788 4.711040 
7.905819 21.919466 3.559117 
8.546597 22.945672 3.725745 
13.596898 32.259696 5.238086 
18.944347 36.807322 5.976495 
23.881574 37.251577 6.048630 
27.783806 35.747528 5.804414 
25.285408 28.886961 4.690447 
26.952280 28.691203 4.658661 
26.717810 28.660487 4.653673 
24.220167 28.291173 4.593707 
20.004814 27.237871 4.422680 
15.419379 25.653667 4.165449 
11.492864 23.547787 3.823512 
8.210281 19.768443 3.209850 
5.147177 13.463491 2.186100 
2.493021 6.649818 1.079747 
3.466632 8.975632 1.457395 
7.750015 18.193631 2.954144 
12.954102 25.543748 4.147601 
18.015826 28.772464 4.671855 
22.229345 29.249992 4.749393 
19.937906 23.900000 3.880701 
21.378892 24.209364 3.930934 
19.220625 23.421177 3.802954 
14.148692 20.689266 3.359367 
8.965741 16.466817 2.673757 
5.030036 11.005491 1.786989 
1.983498 4.588275 0.745009 
4.226508 9.096327 1.476993 
10.275812 18.341152 2.978098 
15.979669 22.724510 3.689834 
14.178844 18.294018 2.970444 
14.452987 18.394309 2.986729 
9.003575 13.737761 2.230634 
3.103162 5.792989 0.940622 
1.993731 3.775951 0.613110 
8.956264 14.062824 2.283415 
8.181675 11.656232 1.892651 
2.184353 3.523183 0.572068 
98.924545 275.778217 44.778784 
93.082027 254.369659 41.302624 
86.325164 230.627385 37.447533 
79.383287 209.130741 33.957070 
72.830315 191.889279 31.157532 
67.053995 179.196383 29.096555 
62.199624 170.037105 27.609341 
58.125338 162.072795 26.316156 
105.100006 291.826223 47.384538 
102.855694 275.274452 44.696987 
98.375493 250.150620 40.617568 
92.561942 223.798657 36.338736 
86.073054 200.074488 32.486584 
79.454593 180.567862 29.319246 
73.156198 165.730490 26.910065 
67.500305 155.475904 25.245003 
62.646480 149.362324 24.252326 
58.569704 146.477219 23.783865 
55.052462 145.080820 23.557128 
51.673271 142.187627 23.087353 
100.234139 278.082319 45.152907 
102.740851 272.970224 44.322843 
101.998488 253.713443 41.196073 
98.984164 228.830415 37.155755 
94.427433 203.751973 33.083706 
88.894053 181.098497 29.405406 
82.865494 161.872208 26.283587 
76.763141 146.324141 23.759009 
70.937483 134.404098 21.823522 
65.645047 125.952892 20.451279 
61.027386 120.756300 19.607496 
57.099509 118.511624 19.243022 
53.749974 118.707582 19.274841 
50.750183 120.387848 19.547670 
47.766540 121.795235 19.776190 
44.375728 120.118678 19.503964 
89.438022 242.222503 39.330261 
93.555575 235.745155 38.278518 
94.066571 216.057165 35.081731 
91.874179 191.753589 31.135500 
87.780734 167.881798 27.259378 
82.458513 146.651948 23.812236 
76.488943 128.790834 20.912083 
70.374558 114.390265 18.573827 
64.526545 103.312133 16.775044 
59.244572 95.357754 15.483472 
54.699562 90.324707 14.666244 
50.924543 88.002433 14.289170 
47.816011 88.116322 14.307663 
45.147069 90.202067 14.646330 
42.592081 93.370372 15.160776 
39.762191 95.946983 15.579146 
36.263511 95.219760 15.461065 
31.833434 88.197708 14.320878 
66.688292 184.878555 30.019184 
74.586486 194.226784 31.537078 
78.655603 184.684544 29.987681 
79.104912 164.869809 26.770314 
76.769773 142.513962 23.140341 
72.526603 121.641649 19.751252 
67.151658 103.762669 16.848198 
61.305423 89.209450 14.485157 
55.527039 77.863823 12.642939 
50.224729 69.479288 11.281522 
45.665545 63.808486 10.360740 
41.966881 60.638953 9.846095 
39.092306 59.775753 9.705935 
36.856230 60.975861 9.900800 
34.943751 63.815649 10.361903 
32.952398 67.454167 10.952698 
30.463708 70.287435 11.412743 
27.164635 69.782924 11.330824 
23.057282 63.544971 10.317952 
52.273469 143.359135 23.277574 
58.680312 147.932281 24.020126 
62.104331 137.880346 22.387969 
62.396253 120.404156 19.550318 
60.215414 101.767748 16.524278 
56.371574 84.999325 13.801548 
51.592767 71.054858 11.537351 
46.483257 59.993540 9.741298 
41.526845 51.584995 8.375982 
37.088774 45.561276 7.397896 
33.404892 41.700701 6.771045 
30.563061 39.834572 6.468037 
28.489482 39.811303 6.464259 
26.952798 41.420604 6.725565 
25.595935 44.258628 7.186382 
24.004629 47.506855 7.713804 
21.823451 49.666602 8.064488 
18.929068 48.651198 7.899614 
15.612174 43.183435 7.011800 
40.719510 111.073932 18.035346 
45.712545 113.405297 18.413896 
48.693650 104.729744 17.005225 
49.292225 90.564791 14.705227 
47.868723 75.809471 12.309369 
44.985949 62.737577 10.186854 
41.177821 51.958693 8.436660 
36.926980 43.429797 7.051802 
32.681669 36.954018 6.000314 
28.836146 32.354530 5.253484 
25.671161 29.502569 4.790404 
23.290136 28.289441 4.593426 
21.590946 28.575081 4.639806 
20.292989 30.112766 4.889484 
19.016364 32.430942 5.265891 
17.401954 34.664486 5.628557 
15.261453 35.453142 5.756613 
12.713808 33.378632 5.419770 
10.150712 28.299103 4.594995 
36.102649 89.730832 14.569815 
39.295983 84.179873 13.668492 
40.721502 73.534829 11.940030 
40.424647 61.926609 10.055175 
38.642020 51.363624 8.340037 
35.677553 42.423638 6.888430 
31.939099 35.165078 5.709840 
27.952952 29.556544 4.799168 
24.265734 25.582644 4.153917 
21.272892 23.217954 3.769956 
19.080368 22.365814 3.631592 
17.487356 22.796161 3.701468 
16.102241 24.085859 3.910880 
14.532268 25.554443 4.149337 
12.566386 26.228919 4.258854 
10.278884 25.035800 4.065124 
7.968448 21.522571 3.494672 
31.528408 86.007274 13.965212 
31.584390 69.084246 11.217378 
34.211423 62.743542 10.187823 
35.216014 53.983305 8.765401 
34.528341 45.149555 7.331044 
32.225105 37.161244 6.033962 
28.688550 30.371719 4.931530 
24.637771 25.020916 4.062707 
20.892617 21.303292 3.459068 
17.994259 19.278827 3.130350 
15.958799 18.762891 3.046577 
14.354257 19.260876 3.127436 
12.642829 19.982450 3.244599 
10.543041 19.966562 3.242019 
8.180768 18.405729 2.988583 
5.963328 15.281288 2.481260 
4.376882 12.007140 1.949629 
22.346593 60.834123 9.877785 
27.513538 69.207423 11.237379 
27.116047 51.962283 8.437243 
29.689916 47.178304 7.660457 
30.333850 40.366806 6.554457 
28.824548 33.212535 5.392801 
25.461143 26.621767 4.322641 
21.249433 21.287926 3.456573 
17.447146 17.736365 2.879897 
14.741976 16.089046 2.612418 
12.855632 15.853838 2.574227 
10.993768 15.960908 2.591612 
8.674295 15.169335 2.463082 
6.151130 12.872806 2.090189 
4.219243 10.134571 1.645575 
3.967426 10.298469 1.672188 
6.594819 17.592481 2.856534 
11.794026 31.187171 5.063937 
17.653802 44.383846 7.206714 
22.968810 51.808237 8.412230 
22.243030 37.803896 6.138311 
24.702146 35.145628 5.706682 
24.834476 30.116738 4.890129 
22.479311 24.273480 3.941344 
18.554583 18.922553 3.072501 
14.735840 15.156739 2.461037 
12.084482 13.373802 2.171537 
10.207693 12.853335 2.087028 
8.102119 12.059893 1.958194 
5.555951 9.869949 1.602608 
3.540312 7.301309 1.185531 
3.740501 8.452460 1.372447 
7.350299 17.022920 2.764053 
12.819178 28.477142 4.623903 
18.073360 36.041387 5.852128 
16.750649 25.748246 4.180806 
19.100128 24.322700 3.949336 
17.338566 19.200148 3.117575 
13.015382 13.777787 2.237133 
9.550239 10.768077 1.748439 
7.249108 9.517115 1.545317 
4.399864 6.982489 1.133764 
2.473703 4.566514 0.741476 
5.504698 10.681831 1.734435 
11.599312 20.991023 3.408364 
10.700091 15.210963 2.469841 
12.175731 14.520656 2.357754 
8.240212 9.391522 1.524924 
5.071090 6.557044 1.064683 
1.911241 2.957222 0.480171 
4.385212 7.126193 1.157097 
4.587719 6.172799 1.002293 
2.879820 3.754274 0.609591 
44.767951 123.126255 19.992311 
41.037989 113.038075 18.354269 
57.205949 154.050804 25.013606 
50.801580 127.987669 20.781671 
46.045075 112.171927 18.213630 
42.567733 105.783570 17.176337 
40.226818 106.351223 17.268508 
70.807826 197.257931 32.029253 
65.722968 169.855189 27.579803 
60.150005 139.687686 22.681432 
55.303566 118.046460 19.167493 
51.288203 105.316438 17.100488 
47.794543 99.467187 16.150731 
44.590818 98.885376 16.056260 
41.840420 102.583250 16.656693 
40.165287 108.803314 17.666660 
72.706508 189.157008 30.713886 
68.288477 155.349632 25.224500 
63.652202 127.174552 20.649643 
59.580409 108.309473 17.586474 
56.144859 97.194934 15.781779 
53.035217 91.759142 14.899156 
49.877829 90.518027 14.697634 
46.514371 92.683699 15.049279 
43.181838 97.911745 15.898170 
40.490857 105.051604 17.057486 
77.012897 209.420126 34.004058 
73.787353 177.697279 28.853142 
69.515283 143.671626 23.328314 
65.197253 117.331433 19.051392 
61.423497 99.452344 16.148321 
58.341056 88.297737 14.337120 
55.776013 82.093071 13.329653 
53.381853 79.511319 12.910448 
50.799186 79.675512 12.937108 
47.810492 82.105032 13.331595 
44.457069 86.637878 14.067604 
41.073102 93.061128 15.110563 
38.166039 99.653867 16.181042 
80.104675 223.276620 36.253971 
78.197905 200.395832 32.538762 
74.406958 164.537610 26.716374 
69.890674 132.125396 21.453524 
65.447902 107.780858 17.500642 
61.525450 90.853872 14.752166 
58.280229 79.663423 12.935145 
55.648038 72.724501 11.808455 
53.415495 68.933762 11.192944 
51.298365 67.519499 10.963306 
49.023010 67.972429 11.036850 
46.403096 70.002558 11.366487 
43.401002 73.513089 11.936500 
40.159857 78.512496 12.748266 
36.986862 84.689078 13.751173 
34.262467 90.136699 14.635716 
78.602784 211.131376 34.281918 
77.198132 183.509203 29.796838 
73.818091 150.325564 24.408730 
69.665409 121.920340 19.796504 
65.481001 100.396411 16.301611 
61.670315 84.917854 13.788320 
58.403615 74.148792 12.039721 
55.678603 66.926066 10.866949 
53.370798 62.359836 10.125519 
51.284533 59.798559 9.709638 
49.205755 58.779867 9.544231 
46.951756 58.995097 9.579178 
44.411525 60.270874 9.786329 
41.572215 62.562962 10.158501 
38.529642 65.941958 10.707157 
35.481452 70.495956 11.446601 
